year,month,day1,day2,day3,day4,day5
1990,1,29,,,,
1990,2,26,,,,
1990,4,2,30,,,
1990,5,21,,,,
1990,6,11,18,25,,
1990,7,2,9,16,23,30
1990,8,6,13,20,27,
1990,9,3,10,17,24,
1990,10,1,8,15,22,29
1990,11,5,12,19,26,
1991,1,1,29,,,
1991,2,26,,,,
1991,4,2,30,,,
1991,5,14,21,,,
1991,6,4,11,18,25,
1991,7,2,9,16,23,30
1991,8,6,13,20,27,
1991,9,3,10,17,24,
1991,10,1,8,15,22,29
1991,11,5,12,19,26,
1991,12,4,,,,
1992,1,1,29,,,
1992,2,26,,,,
1992,4,2,30,,,
1992,5,14,21,,,
1992,6,11,18,25,,
1992,7,2,9,16,23,30
1992,8,6,13,20,27,
1992,9,10,17,24,3,
1992,10,1,8,15,22,29
1992,11,5,12,19,26,
1992,12,4,,,,
1993,1,1,29,,,
1993,2,26,,,,
1993,4,2,30,,,
1993,5,14,21,,,
1993,6,11,18,25,,
1993,7,2,9,16,23,30
1993,8,6,13,20,27,
1993,9,3,10,17,24,
1993,10,1,8,15,22,29
1993,11,5,12,19,26,
1993,12,4,,,,
1994,1,1,29,,,
1994,2,26,,,,
1994,4,2,30,,,
1994,5,14,21,,,
1994,6,4,11,18,25,
1994,7,2,9,16,23,30
1994,8,6,13,20,27,
1994,9,3,10,17,24,
1994,10,1,8,15,22,29
1994,11,5,12,19,26,
1994,12,4,,,,
1995,1,1,29,,,
1995,2,26,,,,
1995,4,2,30,,,
1995,5,14,21,,,
1995,6,11,18,25,,
1995,7,2,9,16,23,30
1995,8,6,13,20,27,
1995,9,3,10,17,24,
1995,10,1,8,15,22,29
1995,11,5,12,19,26,
1995,12,4,,,,
1996,1,1,29,,,
1996,2,26,,,,
1996,4,2,30,,,
1996,5,14,21,,,
1996,6,4,11,18,25,
1996,7,2,9,16,23,30
1996,8,6,13,20,27,
1996,9,3,10,17,24,
1996,10,1,8,15,22,29
1996,11,5,12,19,26,
1996,12,4,,,,
1997,1,1,29,,,
1997,2,26,,,,
1997,4,2,30,,,
1997,5,14,,,,
1997,6,11,18,25,,
1997,7,2,9,16,23,30
1997,8,6,13,20,27,
1997,9,3,10,17,24,
1997,10,1,8,15,22,29
1997,11,5,12,19,26,
1997,12,4,,,,
1998,1,1,29,,,
1998,2,26,,,,
1998,4,2,30,,,
1998,5,14,,,,
1998,6,4,11,18,25,
1998,7,2,9,16,23,30
1998,8,6,13,20,27,
1998,9,3,10,17,24,
1998,10,1,8,15,22,29
1998,11,5,12,19,26,
1998,12,4,,,,
1999,1,1,29,,,
1999,2,26,,,,
1999,4,2,30,,,
1999,5,14,,,,
1999,6,4,11,18,25,
1999,7,2,9,16,23,30
1999,8,6,13,20,27,
1999,9,3,10,17,24,
1999,10,1,8,15,22,29
1999,11,5,12,19,26,
1999,12,4,,,,
2000,1,1,29,,,
2000,2,26,,,,
2000,4,2,30,,,
2000,5,14,,,,
2000,6,4,11,18,25,
2000,7,2,9,16,23,30
2000,8,6,13,20,27,
2000,9,3,10,17,24,
2000,10,1,8,15,22,29
2000,11,5,12,19,26,
2000,12,4,,,,
2001,1,1,29,,,
2001,2,26,,,,
2001,4,2,30,,,
2001,5,14,,,,
2001,6,4,11,18,25,
2001,7,2,9,16,23,30
2001,8,6,13,20,27,
2001,9,3,10,17,24,
2001,10,1,8,15,22,29
2001,11,5,12,19,26,
2001,12,4,,,,
2002,1,1,29,,,
2002,2,26,,,,
2002,4,2,30,,,
2002,5,14,,,,
2002,6,4,11,18,25,
2002,7,2,9,16,23,30
2002,8,6,13,20,27,
2002,9,3,10,17,24,
2002,10,1,8,15,22,29
2002,11,5,12,19,26,
2002,12,4,,,,
2003,1,1,29,,,
2003,2,26,,,,
2003,4,2,30,,,
2003,5,14,,,,
2003,6,4,11,18,25,
2003,7,2,9,16,23,30
2003,8,6,13,20,27,
2003,9,3,10,17,24,
2003,10,1,8,15,22,29
2003,11,5,12,19,26,
2003,12,4,,,,
2004,1,1,29,,,
2004,2,26,,,,
2004,4,2,30,,,
2004,5,14,,,,
2004,6,4,11,18,25,
2004,7,2,9,16,23,30
2004,8,6,13,20,27,
2004,9,3,10,17,24,
2004,10,1,8,15,22,29
2004,11,5,12,19,26,
2004,12,4,,,,
2005,1,1,29,,,
2005,2,26,,,,
2005,4,2,30,,,
2005,5,14,,,,
2005,6,4,11,18,25,
2005,7,2,9,16,23,30
2005,8,6,13,20,27,
2005,9,3,10,17,24,
2005,10,1,8,15,22,29
2005,11,5,12,19,26,
2005,12,4,,,,
2006,1,1,29,,,
2006,2,26,,,,
2006,3,12,,,,
2006,4,2,16,30,,
2006,5,14,,,,
2006,6,4,11,18,25,
2006,7,9,16,23,30,2
2006,8,6,13,20,27,
2006,9,3,10,17,24,
2006,10,1,8,15,22,29
2006,11,5,12,19,26,
2006,12,4,18,,,
2007,1,1,15,29,,
2007,2,12,26,,,
2007,3,12,26,,,
2007,4,2,9,16,23,30
2007,5,7,14,21,28,
2007,6,18,4,11,25,
2007,7,2,9,16,23,30
2007,8,6,13,20,27,
2007,9,3,10,17,24,
2007,10,1,8,15,22,29
2007,11,5,12,19,26,
2007,12,4,11,18,25,
2008,1,1,15,29,,
2008,2,12,26,,,
2008,3,12,26,,,
2008,4,2,9,16,23,30
2008,5,7,14,21,28,
2008,6,25,4,11,18,
2008,7,2,9,16,23,30
2008,8,6,13,20,27,
2008,9,3,10,17,24,
2008,10,1,8,15,22,29
2008,11,5,12,19,26,
2008,12,4,11,18,25,
2009,1,1,8,22,29,
2009,2,5,19,26,,
2009,3,5,19,,,
2009,4,2,9,16,23,30
2009,5,28,7,14,21,
2009,6,4,11,18,25,
2009,7,2,9,16,23,30
2009,8,6,13,20,27,
2009,9,3,10,17,24,
2009,10,1,8,15,22,29
2009,11,5,12,19,26,
2009,12,4,11,18,25,
2010,1,1,15,29,,
2010,2,12,26,,,
2010,3,12,26,,,
2010,4,2,9,16,23,30
2010,5,7,14,21,28,
2010,6,11,4,18,25,
2010,7,2,9,16,23,30
2010,8,6,13,20,27,
2010,9,3,10,17,24,
2010,10,1,8,15,22,29
2010,11,5,12,19,26,
2010,12,4,11,18,25,
2011,1,1,15,29,,
2011,2,12,26,,,
2011,3,12,26,,,
2011,4,2,9,16,23,30
2011,5,21,7,14,28,
2011,6,4,11,18,25,
2011,7,2,9,16,23,30
2011,8,6,13,20,27,
2011,9,3,10,17,24,
2011,10,1,8,15,22,29
2011,11,5,12,19,26,
2011,12,4,11,18,25,
2012,1,1,8,15,22,29
2012,2,5,12,19,26,
2012,3,5,12,19,26,
2012,4,23,16,30,2,9
2012,5,7,14,21,28,
2012,6,4,11,18,25,
2012,7,2,9,16,23,30
2012,8,6,13,20,27,
2012,9,3,10,17,24,
2012,10,1,8,15,22,29
2012,11,5,12,19,26,
2012,12,4,11,18,25,
2013,1,1,8,15,22,29
2013,2,19,5,12,26,
2013,3,5,12,19,26,
2013,4,2,9,16,23,30
2013,5,7,14,21,28,
2013,6,4,11,18,25,
2013,7,2,9,16,23,30
2013,8,6,13,20,27,
2013,9,3,10,17,24,
2013,10,1,8,15,22,29
2013,11,5,12,19,26,
2013,12,4,11,18,25,
2014,1,22,15,29,1,8
2014,2,5,12,19,26,
2014,3,5,12,19,26,
2014,4,2,9,16,23,30
2014,5,7,14,21,28,
2014,6,4,11,18,25,
2014,7,2,9,16,23,30
2014,8,6,13,20,27,
2014,9,3,10,17,24,
2014,10,1,8,15,22,29
2014,11,19,5,12,26,
2014,12,4,11,18,25,
2015,1,1,8,15,22,29
2015,2,5,12,19,26,
2015,3,5,12,19,26,
2015,4,2,9,16,23,30
2015,5,7,14,21,28,
2015,6,4,11,18,25,
2015,7,2,9,16,23,30
2015,8,6,13,20,27,
2015,9,3,10,17,24,
2015,10,22,15,29,1,8
2015,11,5,12,19,26,
2015,12,4,11,18,25,
2016,1,1,8,15,22,29
2016,2,5,12,19,26,
2016,3,5,12,19,26,
2016,4,2,9,16,23,30
2016,5,7,14,21,28,
2016,6,4,11,18,25,
2016,7,2,9,16,23,30
2016,8,20,6,13,27,
2016,9,3,10,17,24,
2016,10,1,8,15,22,29
2016,11,5,12,19,26,
2016,12,4,11,18,25,
2017,1,1,8,15,22,29
2017,2,5,12,19,26,
2017,3,5,12,19,26,
2017,4,2,9,16,23,30
2017,5,7,14,21,28,
2017,6,4,11,18,25,
2017,7,23,16,30,2,9
2017,8,6,13,20,27,
2017,9,3,10,17,24,
2017,10,1,8,15,22,29
2017,11,5,12,19,26,
2017,12,4,11,18,25,
2018,1,1,8,15,22,29
2018,2,5,12,19,26,
2018,3,5,12,19,26,
2018,4,2,9,16,23,30
2018,5,21,7,14,28,
2018,6,4,11,18,25,
2018,7,2,9,16,23,30
2018,8,6,13,20,27,
2018,9,3,10,17,24,
2018,10,1,8,15,22,29
2018,11,5,12,19,26,
2018,12,4,11,18,25,
2019,1,1,8,15,22,29
2019,2,5,12,19,26,
2019,3,5,12,19,26,
2019,4,23,16,30,2,9
2019,5,7,14,21,28,
2019,6,4,11,18,25,
2019,7,2,9,16,23,30
2019,8,6,13,20,27,
2019,9,3,10,17,24,
2019,10,1,8,15,22,29
2019,11,5,12,19,26,
2019,12,4,11,18,25,
2020,1,1,8,15,22,29
2020,2,19,5,12,26,
2020,3,5,12,19,26,
2020,4,2,9,16,23,30
2020,5,7,14,21,28,
2020,6,4,11,18,25,
2020,7,2,9,16,23,30
2020,8,6,13,20,27,
2020,9,3,10,17,24,
2020,10,1,8,15,22,29
2020,11,5,12,19,26,
2020,12,4,11,18,25,
